session_id,date,education_level,subject,task_type,duration_min,num_prompts,ai_help_level,result,reuse_ai_again,satisfaction_rating,prompts_per_min,is_success
123,2024-02-26,Undergraduate,Economics,Research,65,24,Low,Incomplete,No,9,0.37,No
124,2024-01-09,High School,AI,Quiz,53,8,Medium,Pass,Yes,10,0.15,Yes
125,2020-03-28,High School,Computer Science,Coding,37,37,Low,Pass,Yes,10,1.0,Yes
126,2022-06-03,Undergraduate,Computer Science,Coding,157,1,Medium,Pass,Yes,9,0.01,Yes
127,2022-10-23,Undergraduate,Physics,Project,11,9,Low,Fail,Yes,10,0.82,No
128,2023-08-19,High School,Chemistry,Quiz,18,9,High,Fail,Yes,2,0.5,No
129,2025-05-04,PhD,Computer Science,Presentation,156,7,Medium,Incomplete,Yes,10,0.04,No
130,2020-06-26,Postgraduate,Economics,Project,12,4,Medium,Fail,No,2,0.33,No
131,2025-07-01,PhD,Physics,Essay,87,39,Low,Pass,Yes,5,0.45,No
132,2023-08-24,PhD,Engineering,Presentation,80,30,High,Incomplete,No,2,0.38,No
133,2021-04-13,Undergraduate,AI,Research,63,27,Medium,Fail,No,7,0.43,No
134,2021-01-24,Postgraduate,AI,Quiz,175,17,Medium,Pass,No,2,0.1,No
135,2021-01-08,High School,Physics,Research,29,24,Low,Incomplete,Yes,10,0.83,No
136,2023-09-12,High School,AI,Quiz,175,28,High,Pass,No,10,0.16,Yes
137,2023-07-03,Postgraduate,Physics,Presentation,134,14,Low,Incomplete,No,4,0.1,No
138,2021-03-19,Postgraduate,Literature,Quiz,34,18,High,Pass,No,9,0.53,Yes
139,2020-04-17,Postgraduate,Mathematics,Coding,74,20,Medium,Fail,Yes,3,0.27,No
140,2021-08-09,PhD,Physics,Coding,167,2,Low,Incomplete,Yes,7,0.01,No
141,2024-09-15,PhD,Computer Science,Coding,99,20,High,Fail,Yes,1,0.2,No
142,2021-09-29,Undergraduate,Engineering,Essay,177,6,Medium,Fail,No,8,0.03,No
143,2024-12-15,PhD,History,Coding,136,8,Medium,Fail,Yes,5,0.06,No
144,2025-06-16,Postgraduate,Mathematics,Coding,106,39,Low,Pass,Yes,5,0.37,No
145,2022-05-15,Undergraduate,History,Quiz,88,8,Low,Fail,No,3,0.09,No
146,2021-06-13,PhD,Literature,Project,63,33,High,Incomplete,No,2,0.52,No
147,2024-06-14,High School,AI,Essay,122,5,Medium,Incomplete,No,10,0.04,No
148,2024-07-14,PhD,History,Essay,108,2,Medium,Pass,No,6,0.02,Yes
149,2020-12-26,PhD,Physics,Coding,116,38,Medium,Incomplete,Yes,7,0.33,No
150,2023-06-24,Postgraduate,Biology,Quiz,48,5,High,Incomplete,Yes,9,0.1,No
151,2025-09-19,Undergraduate,Computer Science,Quiz,170,10,Low,Pass,Yes,5,0.06,No
152,2022-03-19,Undergraduate,Engineering,Coding,172,5,Low,Incomplete,No,8,0.03,No
153,2025-01-12,Postgraduate,Computer Science,Coding,117,5,Medium,Fail,No,5,0.04,No
154,2020-08-18,Postgraduate,Literature,Essay,84,30,Medium,Pass,Yes,6,0.36,Yes
155,2023-03-21,High School,Physics,Presentation,157,33,Medium,Fail,Yes,8,0.21,No
156,2022-02-10,Postgraduate,Engineering,Research,133,10,Low,Fail,Yes,6,0.08,No
157,2020-12-11,Undergraduate,Mathematics,Coding,117,29,High,Incomplete,Yes,6,0.25,No
158,2024-03-07,Postgraduate,AI,Research,91,39,Low,Incomplete,No,2,0.43,No
159,2023-09-12,High School,Literature,Project,103,19,Medium,Incomplete,Yes,6,0.18,No
160,2020-11-29,Undergraduate,Computer Science,Quiz,172,26,Low,Incomplete,Yes,5,0.15,No
161,2024-03-22,Postgraduate,Chemistry,Project,180,34,Low,Incomplete,No,9,0.19,No
162,2024-01-22,High School,Computer Science,Quiz,51,14,Medium,Fail,Yes,4,0.27,No
163,2021-07-17,Undergraduate,Physics,Quiz,30,33,High,Incomplete,Yes,6,1.1,No
164,2021-06-20,PhD,Chemistry,Coding,51,40,Low,Incomplete,No,1,0.78,No
165,2024-08-09,Postgraduate,Biology,Research,161,19,High,Fail,Yes,9,0.12,No
166,2022-09-06,Postgraduate,Economics,Coding,99,37,Medium,Fail,No,7,0.37,No
167,2025-08-21,PhD,Chemistry,Coding,159,9,Medium,Pass,No,6,0.06,Yes
168,2021-02-24,High School,History,Essay,46,18,Medium,Incomplete,Yes,7,0.39,No
169,2021-01-10,Undergraduate,Economics,Quiz,11,27,Low,Fail,No,4,2.45,No
170,2024-04-30,High School,Computer Science,Coding,12,21,Low,Incomplete,No,3,1.75,No
171,2021-07-17,High School,History,Research,40,31,Medium,Incomplete,Yes,2,0.78,No
172,2020-03-18,Postgraduate,Biology,Coding,145,39,High,Fail,Yes,5,0.27,No
173,2022-08-31,Postgraduate,Physics,Essay,66,27,High,Incomplete,No,2,0.41,No
174,2021-03-30,PhD,Engineering,Presentation,9,33,High,Pass,Yes,5,3.67,No
175,2024-10-24,High School,Engineering,Quiz,66,37,Medium,Pass,Yes,9,0.56,Yes
176,2024-01-17,High School,Literature,Presentation,134,33,High,Pass,No,8,0.25,Yes
177,2020-06-27,PhD,Computer Science,Quiz,9,23,Low,Fail,Yes,2,2.56,No
178,2023-09-23,Undergraduate,Mathematics,Quiz,144,22,High,Pass,No,8,0.15,Yes
179,2022-01-16,Undergraduate,Physics,Project,122,3,Medium,Pass,Yes,4,0.02,No
180,2020-06-20,Postgraduate,History,Presentation,106,35,Medium,Fail,Yes,4,0.33,No
181,2023-03-17,Postgraduate,Mathematics,Project,89,18,Low,Fail,No,7,0.2,No
182,2024-12-06,PhD,Computer Science,Coding,132,32,Medium,Incomplete,No,2,0.24,No
183,2024-10-04,High School,AI,Presentation,51,35,Medium,Fail,Yes,2,0.69,No
184,2023-09-05,Postgraduate,History,Research,159,28,Low,Incomplete,No,6,0.18,No
185,2025-01-05,High School,Computer Science,Presentation,116,18,High,Pass,Yes,7,0.16,Yes
186,2024-01-28,Undergraduate,Mathematics,Coding,160,29,Low,Pass,Yes,4,0.18,No
187,2024-02-09,Postgraduate,AI,Presentation,13,39,Low,Incomplete,No,6,3.0,No
188,2024-03-03,PhD,Physics,Presentation,40,34,Medium,Fail,No,5,0.85,No
189,2022-10-19,High School,Mathematics,Project,52,32,High,Fail,Yes,5,0.62,No
190,2022-12-02,PhD,Biology,Presentation,78,32,Low,Pass,Yes,2,0.41,No
191,2025-01-25,Undergraduate,Economics,Essay,179,21,High,Fail,Yes,9,0.12,No
192,2023-04-04,Postgraduate,Chemistry,Project,168,12,Medium,Incomplete,Yes,2,0.07,No
193,2022-04-03,Undergraduate,Biology,Research,11,24,High,Incomplete,No,8,2.18,No
194,2021-06-15,High School,Physics,Quiz,106,31,High,Fail,No,10,0.29,No
195,2020-10-29,Undergraduate,Computer Science,Project,23,29,Medium,Incomplete,No,3,1.26,No
196,2022-01-15,Undergraduate,AI,Presentation,19,8,High,Pass,No,3,0.42,No
197,2021-10-25,Postgraduate,Biology,Quiz,137,19,Low,Fail,Yes,9,0.14,No
198,2023-01-29,Undergraduate,History,Presentation,141,6,High,Incomplete,Yes,10,0.04,No
199,2021-09-23,Undergraduate,Engineering,Project,159,22,High,Pass,Yes,2,0.14,No
200,2020-07-05,Postgraduate,Biology,Presentation,111,40,High,Pass,No,9,0.36,Yes
201,2023-04-01,Postgraduate,Economics,Coding,180,26,Medium,Fail,Yes,1,0.14,No
202,2021-10-09,PhD,AI,Research,123,14,Medium,Incomplete,Yes,6,0.11,No
203,2023-07-31,Postgraduate,AI,Coding,99,33,High,Pass,No,4,0.33,No
204,2025-03-25,High School,History,Research,68,10,Low,Pass,No,7,0.15,Yes
205,2024-09-08,Undergraduate,Chemistry,Quiz,152,21,Low,Pass,No,9,0.14,Yes
206,2025-03-27,PhD,History,Research,10,6,Medium,Incomplete,No,4,0.6,No
207,2022-05-31,Postgraduate,Mathematics,Essay,77,32,High,Incomplete,No,5,0.42,No
208,2020-02-03,High School,AI,Coding,72,24,Medium,Fail,Yes,7,0.33,No
209,2020-07-28,Undergraduate,Computer Science,Presentation,78,5,Medium,Incomplete,No,9,0.06,No
210,2023-02-19,High School,Chemistry,Essay,105,24,Medium,Incomplete,No,3,0.23,No
211,2022-03-26,PhD,Literature,Essay,16,3,Low,Incomplete,No,8,0.19,No
212,2025-10-28,PhD,Chemistry,Presentation,136,9,Medium,Incomplete,No,3,0.07,No
213,2024-05-28,Postgraduate,Engineering,Quiz,134,33,High,Fail,No,8,0.25,No
214,2020-03-09,Postgraduate,Computer Science,Project,33,27,High,Fail,Yes,10,0.82,No
215,2025-04-27,Postgraduate,Engineering,Presentation,63,4,High,Fail,Yes,9,0.06,No
216,2024-04-06,Undergraduate,Biology,Essay,151,8,Low,Pass,No,6,0.05,Yes
217,2024-09-11,Undergraduate,AI,Project,57,27,High,Incomplete,No,1,0.47,No
218,2021-07-19,Undergraduate,Literature,Quiz,174,31,High,Fail,No,3,0.18,No
219,2025-02-25,Postgraduate,Literature,Quiz,178,17,High,Fail,Yes,4,0.1,No
220,2023-02-16,Postgraduate,Biology,Quiz,78,14,High,Incomplete,No,6,0.18,No
221,2025-05-19,Postgraduate,Literature,Project,75,19,Low,Incomplete,No,7,0.25,No
222,2023-11-14,Undergraduate,History,Essay,78,6,Medium,Fail,No,8,0.08,No
223,2022-05-26,Undergraduate,Literature,Quiz,148,18,Low,Pass,Yes,4,0.12,No
224,2020-07-26,Undergraduate,Biology,Essay,30,27,Medium,Incomplete,No,2,0.9,No
225,2021-07-17,High School,Literature,Coding,109,31,Medium,Incomplete,Yes,5,0.28,No
226,2023-08-08,Postgraduate,Mathematics,Essay,171,37,Low,Incomplete,Yes,3,0.22,No
227,2024-09-07,Undergraduate,Mathematics,Research,131,12,High,Fail,Yes,1,0.09,No
228,2023-05-07,High School,Computer Science,Quiz,121,35,High,Fail,Yes,9,0.29,No
229,2025-04-01,Postgraduate,Biology,Essay,89,11,High,Fail,No,3,0.12,No
230,2020-02-27,Postgraduate,History,Presentation,177,13,Low,Incomplete,No,7,0.07,No
231,2025-10-11,Postgraduate,Physics,Research,176,7,Low,Pass,No,6,0.04,Yes
232,2022-10-13,High School,History,Research,65,29,Medium,Fail,No,10,0.45,No
233,2020-02-16,Postgraduate,Computer Science,Project,65,4,High,Pass,No,5,0.06,No
234,2021-10-16,PhD,Literature,Project,84,8,High,Fail,No,10,0.1,No
235,2022-06-23,Undergraduate,Chemistry,Research,44,30,High,Incomplete,No,7,0.68,No
236,2025-04-12,Undergraduate,Biology,Project,157,6,High,Fail,No,2,0.04,No
237,2021-04-04,High School,Literature,Presentation,56,37,High,Pass,Yes,6,0.66,Yes
238,2025-11-01,PhD,Physics,Project,57,38,Medium,Pass,No,1,0.67,No
239,2025-01-31,Undergraduate,Literature,Research,121,37,Low,Incomplete,No,5,0.31,No
240,2020-03-30,PhD,History,Essay,60,38,Low,Pass,No,6,0.63,Yes
241,2020-09-18,High School,Physics,Research,13,19,Medium,Pass,Yes,7,1.46,Yes
242,2024-03-13,PhD,Economics,Research,101,6,High,Incomplete,Yes,6,0.06,No
243,2021-04-30,Undergraduate,Literature,Research,140,9,High,Pass,Yes,1,0.06,No
244,2023-05-07,PhD,Literature,Research,141,25,Low,Pass,No,6,0.18,Yes
245,2021-09-27,Postgraduate,Biology,Project,33,3,High,Fail,Yes,4,0.09,No
246,2022-04-24,High School,Physics,Presentation,13,29,High,Incomplete,Yes,4,2.23,No
247,2020-06-30,PhD,Economics,Coding,143,14,Low,Pass,No,4,0.1,No
248,2023-07-30,Postgraduate,Biology,Quiz,41,34,Low,Fail,No,5,0.83,No
249,2020-09-06,Undergraduate,AI,Presentation,131,4,Medium,Incomplete,No,9,0.03,No
250,2023-07-29,PhD,AI,Coding,81,25,Low,Incomplete,No,4,0.31,No
251,2022-07-12,Postgraduate,Chemistry,Research,19,36,Medium,Fail,Yes,7,1.89,No
252,2022-09-21,Postgraduate,Biology,Quiz,170,6,Medium,Fail,Yes,9,0.04,No
253,2022-02-19,High School,History,Research,177,39,High,Pass,Yes,4,0.22,No
254,2022-06-07,PhD,Biology,Quiz,82,1,Low,Pass,Yes,8,0.01,Yes
255,2022-09-20,Undergraduate,AI,Coding,146,21,Medium,Fail,No,9,0.14,No
256,2024-01-11,Postgraduate,History,Quiz,136,32,Medium,Pass,No,6,0.24,Yes
257,2022-04-12,Postgraduate,Computer Science,Research,16,37,Low,Incomplete,Yes,1,2.31,No
258,2022-12-04,PhD,History,Coding,55,22,Low,Fail,Yes,8,0.4,No
259,2023-10-14,Postgraduate,Economics,Project,169,32,Medium,Pass,No,3,0.19,No
260,2021-07-27,PhD,Chemistry,Presentation,169,4,High,Pass,Yes,1,0.02,No
261,2020-01-27,PhD,Chemistry,Project,64,5,High,Pass,Yes,4,0.08,No
262,2025-09-02,PhD,Computer Science,Essay,163,40,Medium,Incomplete,No,1,0.25,No
263,2020-01-28,PhD,Mathematics,Essay,140,18,High,Fail,Yes,9,0.13,No
264,2024-10-29,Undergraduate,Physics,Essay,139,10,Low,Pass,No,6,0.07,Yes
265,2022-12-30,PhD,Physics,Quiz,108,30,High,Pass,Yes,5,0.28,No
266,2020-11-26,High School,Physics,Research,102,25,High,Fail,Yes,1,0.25,No
267,2021-12-02,High School,Economics,Research,170,22,High,Pass,Yes,4,0.13,No
268,2022-05-15,PhD,History,Essay,24,18,High,Incomplete,Yes,3,0.75,No
269,2023-07-12,High School,Biology,Presentation,41,26,Low,Fail,Yes,10,0.63,No
270,2022-09-11,PhD,Literature,Quiz,103,9,High,Incomplete,Yes,9,0.09,No
271,2023-11-17,High School,Physics,Research,64,5,Medium,Incomplete,No,6,0.08,No
272,2020-05-01,Postgraduate,Economics,Research,63,23,High,Fail,No,3,0.37,No
273,2024-04-05,High School,Engineering,Quiz,68,5,Low,Fail,Yes,7,0.07,No
274,2021-09-23,PhD,Computer Science,Quiz,32,6,Low,Fail,No,6,0.19,No
275,2023-01-09,High School,Chemistry,Essay,52,28,Medium,Incomplete,No,2,0.54,No
276,2020-04-17,High School,Computer Science,Presentation,28,39,High,Fail,No,1,1.39,No
277,2023-04-10,PhD,AI,Essay,148,16,High,Incomplete,Yes,7,0.11,No
278,2021-11-25,Undergraduate,History,Quiz,73,32,Low,Pass,Yes,7,0.44,Yes
279,2023-02-04,PhD,History,Research,24,24,Medium,Pass,No,10,1.0,Yes
280,2022-03-11,PhD,Physics,Coding,82,1,Medium,Fail,No,6,0.01,No
281,2024-12-08,Postgraduate,AI,Project,157,9,Medium,Fail,Yes,8,0.06,No
282,2023-07-10,Undergraduate,AI,Quiz,79,32,High,Pass,No,7,0.41,Yes
283,2023-02-22,PhD,Computer Science,Essay,149,13,High,Incomplete,Yes,9,0.09,No
284,2020-04-20,PhD,Biology,Research,79,5,Medium,Incomplete,No,3,0.06,No
285,2023-05-25,Undergraduate,History,Project,44,28,Medium,Pass,No,10,0.64,Yes
286,2025-05-16,PhD,Literature,Presentation,112,35,Low,Fail,Yes,2,0.31,No
287,2022-10-13,Postgraduate,Chemistry,Project,161,3,High,Incomplete,No,6,0.02,No
288,2024-10-29,High School,Mathematics,Essay,71,15,High,Incomplete,Yes,8,0.21,No
289,2024-03-12,PhD,Economics,Project,155,33,Low,Fail,Yes,8,0.21,No
290,2021-03-04,Postgraduate,AI,Essay,34,10,Medium,Fail,No,8,0.29,No
291,2022-04-27,PhD,Computer Science,Research,29,29,High,Incomplete,No,6,1.0,No
292,2020-10-02,Postgraduate,Mathematics,Project,34,2,Medium,Incomplete,Yes,3,0.06,No
293,2022-09-26,Undergraduate,Literature,Coding,89,36,Medium,Fail,Yes,7,0.4,No
294,2022-01-25,Undergraduate,AI,Research,12,40,Low,Fail,No,7,3.33,No
295,2020-01-19,Undergraduate,Biology,Quiz,21,37,Low,Incomplete,Yes,6,1.76,No
296,2023-08-28,Undergraduate,Economics,Essay,72,32,High,Incomplete,No,10,0.44,No
297,2024-05-10,PhD,Engineering,Essay,94,23,Medium,Incomplete,Yes,5,0.24,No
298,2020-12-13,Undergraduate,Computer Science,Essay,66,20,Low,Pass,No,3,0.3,No
299,2025-09-23,PhD,AI,Presentation,40,37,Medium,Fail,Yes,8,0.93,No
300,2021-12-10,Undergraduate,Economics,Quiz,40,12,Medium,Fail,Yes,6,0.3,No
301,2020-02-09,PhD,Chemistry,Coding,103,36,High,Incomplete,No,7,0.35,No
302,2025-07-07,PhD,Economics,Research,47,6,High,Pass,Yes,5,0.13,No
303,2020-05-13,Postgraduate,Biology,Presentation,78,11,Medium,Incomplete,No,9,0.14,No
304,2025-09-23,High School,Engineering,Essay,73,35,Medium,Incomplete,Yes,8,0.48,No
